lead_id,source,campaign,region,role,prior_course_interest,page_views,last_touch_days,recency_days,email_opens,webinar_attended,form_submissions,prior_purchases,region_engagement_score,time_spent_minutes,label_conversion,label_class
LEAD-100198,Referral,Spring2025,Australia,VP,Machine Learning,18,0,16,6,No,0,3,67.67,81,1,Hot
LEAD-100778,Facebook,Summer2025,North America,Intern,Leadership,38,5,6,8,Yes,0,1,51.55,57,1,Warm
LEAD-101646,Google Ads,Summer2025,North America,Director,Machine Learning; Strategy; Marketing,23,14,4,5,No,2,1,57.37,102,0,Cold
LEAD-100514,Organic,Webinar2025,North America,VP,Machine Learning; Leadership; Data Science,35,0,22,5,No,5,0,58.03,5,1,Hot
LEAD-101920,Google Ads,Summer2025,Australia,Director,Leadership,7,8,1,0,No,0,1,45.45,197,0,Cold
LEAD-101977,Organic,Spring2025,Australia,Analyst,Marketing,15,18,28,-1,Yes,0,0,38.15,243,0,Cold
LEAD-100892,Referral,Webinar2025,Europe,Manager,Marketing,20,8,15,7,Yes,4,0,58.63,120,0,Cold
LEAD-101189,Google Ads,Spring2025,Asia,Analyst,Marketing; Machine Learning,23,13,6,4,Yes,2,1,24.83,184,0,Cold
LEAD-100916,Organic,Spring2025,Europe,Manager,Marketing; Strategy; Machine Learning,24,16,21,7,Yes,4,0,51.02,83,0,Cold
LEAD-100828,LinkedIn,Summer2025,Australia,VP,Strategy,10,16,19,6,No,4,1,38.95,196,0,Warm
LEAD-101614,Facebook,Summer2025,North America,Analyst,Leadership,5,16,9,2,Yes,1,1,20.28,107,0,Hot
LEAD-100300,Google Ads,Webinar2025,Australia,Manager,Leadership,20,5,2,8,No,2,2,79.85,168,1,Cold
LEAD-101477,Referral,Summer2025,North America,VP,Leadership; Data Science; Machine Learning,12,12,1,6,No,5,1,32.58,54,0,Warm
LEAD-101099,Google Ads,Webinar2025,Europe,Analyst,Marketing; Strategy,6,18,26,3,Yes,0,0,54.71,90,0,Cold
LEAD-100831,Referral,Summer2025,Asia,Director,Marketing,24,14,5,3,Yes,0,0,55.84,28,0,Hot
LEAD-100658,Facebook,Webinar2025,North America,Manager,Leadership; Data Science; Strategy,26,5,27,3,No,3,2,83.41,231,1,Warm
LEAD-100290,Organic,Summer2025,Australia,Manager,Data Science; Machine Learning,28,5,26,7,No,0,0,94.06,200,1,Warm
LEAD-100347,Facebook,Webinar2025,North America,VP,Strategy; Marketing; Data Science,17,6,0,3,Yes,1,3,52.75,206,1,Warm
LEAD-100339,LinkedIn,Spring2025,Asia,Analyst,Strategy; Data Science; Machine Learning,33,4,25,6,Yes,3,3,67.96,7,1,Hot
LEAD-101270,Google Ads,Webinar2025,North America,Analyst,Leadership,9,10,23,5,No,2,0,31.84,120,0,Warm
LEAD-100527,LinkedIn,Spring2025,Europe,VP,Leadership; Strategy; Marketing,27,6,7,6,Yes,0,3,97.28,172,1,Hot
LEAD-101616,LinkedIn,Spring2025,North America,VP,Data Science,25,7,16,8,Yes,0,1,72.9,141,0,Warm
LEAD-101096,Referral,Spring2025,Asia,Intern,Strategy; Machine Learning,7,16,14,2,No,2,0,26.32,16,0,Cold
LEAD-101852,Organic,Spring2025,Asia,Intern,Strategy,17,18,25,7,No,5,1,31.37,30,0,Warm
LEAD-100178,Organic,Webinar2025,Australia,Analyst,Data Science,21,4,4,10,Yes,5,0,83.45,125,1,Hot
LEAD-101453,Facebook,Webinar2025,Australia,Intern,Marketing,24,19,8,5,Yes,5,1,22.13,252,0,Cold
LEAD-101561,Google Ads,Summer2025,Asia,Analyst,Data Science; Strategy; Leadership,3,5,17,8,No,1,1,65.92,279,0,Cold
LEAD-101190,Facebook,Summer2025,Europe,VP,Marketing,9,5,28,5,No,2,0,30.89,14,0,Warm
LEAD-101946,Facebook,Webinar2025,North America,Analyst,Data Science; Marketing; Leadership,9,5,5,2,Yes,5,0,62.39,46,0,Cold
LEAD-100751,Referral,Spring2025,Europe,Analyst,Marketing; Machine Learning; Data Science,26,7,20,9,Yes,5,0,81.88,86,1,Hot
LEAD-101349,Facebook,Summer2025,Asia,Intern,Machine Learning,27,19,18,0,Yes,2,1,49.03,116,0,Cold
LEAD-101890,Google Ads,Summer2025,Australia,VP,Machine Learning; Data Science; Leadership,24,18,11,5,Yes,3,1,73.4,55,0,Cold
LEAD-100393,LinkedIn,Webinar2025,Europe,Intern,Machine Learning; Marketing; Leadership,31,2,24,10,Yes,0,2,44.86,124,1,Hot
LEAD-101372,Google Ads,Spring2025,Europe,Director,Data Science,21,9,22,-1,No,4,0,58.62,20,0,Hot
LEAD-101562,Organic,Spring2025,Australia,Director,Strategy; Marketing,10,14,25,3,No,2,1,49.45,259,0,Cold
LEAD-101986,Referral,Webinar2025,Asia,Director,Strategy; Marketing; Leadership,30,17,25,6,Yes,0,1,28.58,231,0,Cold
LEAD-100098,Organic,Summer2025,Australia,Intern,Machine Learning; Marketing,29,10,5,1,No,5,0,80.83,149,1,Warm
LEAD-101874,Organic,Webinar2025,Asia,Manager,Machine Learning,5,20,27,6,Yes,4,0,46.3,210,0,Hot
LEAD-100209,Referral,Summer2025,Europe,Director,Data Science; Machine Learning; Marketing,22,0,5,8,Yes,4,2,95.43,225,1,Cold
LEAD-101132,Referral,Spring2025,Australia,Analyst,Machine Learning; Data Science; Leadership,9,16,3,6,No,4,0,24.56,181,0,Hot
LEAD-101123,Referral,Summer2025,Australia,Manager,Machine Learning; Leadership; Marketing,20,13,29,5,No,0,0,43.16,219,0,Warm
LEAD-100214,Organic,Spring2025,Australia,Analyst,Data Science; Leadership,21,10,6,8,No,0,2,80.82,86,1,Hot
LEAD-100964,Google Ads,Webinar2025,Europe,Manager,Machine Learning; Leadership; Marketing,13,12,24,3,Yes,2,0,57.6,92,0,Cold
LEAD-101222,Organic,Summer2025,Asia,Analyst,Marketing; Data Science,16,5,19,4,No,2,1,47.21,127,0,Cold
LEAD-100764,Organic,Spring2025,Asia,Analyst,Strategy; Leadership,27,1,11,5,Yes,3,0,89.11,111,1,Warm
LEAD-101933,Google Ads,Summer2025,Australia,VP,Machine Learning,24,10,16,5,Yes,5,0,36.29,69,0,Warm
LEAD-100823,Referral,Spring2025,Australia,Director,Strategy; Machine Learning,25,16,9,2,No,1,0,34.74,189,0,Cold
LEAD-100863,Facebook,Summer2025,Europe,Director,Marketing; Machine Learning,25,12,6,1,No,3,0,21.62,259,0,Cold
LEAD-101624,Organic,Webinar2025,Asia,Intern,Machine Learning,24,20,12,5,No,5,1,18.51,3,0,Warm
LEAD-101243,Google Ads,Webinar2025,Australia,VP,Strategy; Data Science,21,20,20,6,Yes,1,1,47.32,245,0,Warm
LEAD-100773,Referral,Spring2025,Asia,Analyst,Machine Learning; Leadership,35,9,11,5,No,1,3,67.62,107,1,Hot
LEAD-101433,Facebook,Summer2025,Australia,Analyst,Strategy; Data Science,11,9,0,0,Yes,1,1,63.53,217,0,Warm
LEAD-101759,Referral,Summer2025,Europe,Analyst,Strategy; Machine Learning,17,19,23,0,No,1,1,30.52,181,0,Cold
LEAD-100662,LinkedIn,Webinar2025,North America,Manager,Leadership; Data Science,33,7,15,4,Yes,2,2,71.91,181,1,Warm
LEAD-100800,Referral,Webinar2025,Asia,Intern,Leadership; Data Science,32,20,26,5,Yes,2,1,69.28,188,0,Cold
LEAD-100299,LinkedIn,Spring2025,Australia,Intern,Marketing; Leadership,32,7,2,3,Yes,4,1,95.08,272,1,Warm
LEAD-101279,Referral,Summer2025,Asia,Director,Marketing,11,17,0,0,Yes,2,1,46.7,117,0,Cold
LEAD-100206,LinkedIn,Summer2025,Europe,Manager,Machine Learning,35,7,24,10,No,3,1,91.81,28,1,Cold
LEAD-100462,Organic,Webinar2025,Asia,Manager,Leadership; Strategy; Machine Learning,38,5,0,6,No,2,3,62.71,266,1,Hot
LEAD-101761,Organic,Webinar2025,North America,Intern,Strategy,29,11,20,6,No,2,1,36.33,45,0,Hot
LEAD-101092,Referral,Spring2025,Australia,Manager,Marketing,27,20,4,6,Yes,3,1,50.0,95,0,Cold
LEAD-101068,Google Ads,Spring2025,Europe,Manager,Leadership,17,7,12,5,No,1,1,21.16,162,0,Cold
LEAD-101901,Facebook,Spring2025,North America,Analyst,Marketing; Data Science; Leadership,9,10,19,1,No,2,1,41.24,242,0,Cold
LEAD-100337,LinkedIn,Webinar2025,Australia,Analyst,Machine Learning,14,9,2,7,Yes,5,1,51.32,276,1,Warm
LEAD-100810,Facebook,Webinar2025,Australia,Director,Strategy; Leadership,10,7,14,4,No,0,1,54.22,205,0,Cold
LEAD-101118,LinkedIn,Spring2025,Europe,Analyst,Data Science; Machine Learning,13,10,30,3,No,2,0,39.68,86,0,Cold
LEAD-100091,Google Ads,Webinar2025,Europe,Intern,Strategy; Leadership; Marketing,36,2,2,9,No,3,0,97.37,163,1,Hot
LEAD-101113,Facebook,Summer2025,North America,Analyst,Data Science; Machine Learning,4,15,0,3,No,3,1,37.1,204,0,Cold
LEAD-100231,Facebook,Spring2025,Asia,Intern,Strategy; Machine Learning; Marketing,25,3,23,8,Yes,5,2,106.84,100,1,Hot
LEAD-101976,Referral,Webinar2025,North America,Intern,Data Science,12,11,8,0,Yes,4,1,57.67,174,0,Cold
LEAD-100894,Facebook,Summer2025,Europe,VP,Machine Learning; Marketing; Leadership,10,8,20,2,Yes,4,0,33.12,141,0,Cold
LEAD-100827,Google Ads,Summer2025,Asia,Intern,Leadership; Data Science,5,12,8,7,Yes,4,0,67.65,183,0,Cold
LEAD-101503,Google Ads,Spring2025,Australia,Intern,Leadership; Marketing; Data Science,30,7,10,3,No,5,1,30.48,69,0,Hot
LEAD-100224,Google Ads,Summer2025,Australia,Intern,Strategy,16,10,7,8,Yes,4,1,79.92,174,1,Cold
LEAD-100822,Facebook,Webinar2025,Australia,Intern,Marketing,11,8,5,8,No,2,0,66.46,157,0,Cold
LEAD-101327,LinkedIn,Webinar2025,Australia,Analyst,Data Science,10,9,17,2,Yes,0,1,45.91,28,0,Cold
LEAD-101571,LinkedIn,Summer2025,Australia,Director,Marketing; Data Science,3,14,0,1,Yes,5,0,29.13,58,0,Cold
LEAD-100775,Google Ads,Webinar2025,Asia,VP,Machine Learning; Leadership,36,7,26,7,Yes,3,0,78.31,259,1,Hot
LEAD-100797,Google Ads,Webinar2025,North America,Director,Leadership; Strategy; Machine Learning,19,2,30,6,No,3,2,53.72,225,1,Warm
LEAD-101963,Organic,Spring2025,Australia,Manager,Strategy; Machine Learning; Data Science,15,20,20,8,No,3,0,43.55,153,0,Cold
LEAD-100314,LinkedIn,Summer2025,Europe,Intern,Marketing; Leadership; Strategy,23,10,29,6,No,3,1,67.25,133,1,Hot
LEAD-101507,Referral,Spring2025,Asia,VP,Leadership; Machine Learning; Marketing,13,5,25,2,No,3,1,25.4,265,0,Cold
LEAD-101181,Organic,Summer2025,Australia,Manager,Leadership; Marketing,17,20,0,0,No,0,1,29.13,293,0,Warm
LEAD-100141,Facebook,Summer2025,Asia,VP,Machine Learning; Data Science,37,9,0,11,Yes,2,2,79.43,165,1,Hot
LEAD-100354,Facebook,Spring2025,Europe,Director,Strategy; Marketing; Data Science,40,6,3,3,Yes,3,0,85.0,123,1,Warm
LEAD-101612,Facebook,Webinar2025,Asia,Intern,Leadership; Marketing; Strategy,19,8,23,3,Yes,2,0,56.88,120,0,Warm
LEAD-101402,Google Ads,Summer2025,Europe,Manager,Strategy; Marketing,30,14,0,0,Yes,4,1,58.67,68,0,Cold
LEAD-101393,LinkedIn,Spring2025,Europe,Analyst,Marketing,17,16,4,7,No,4,1,41.7,235,0,Warm
LEAD-100036,Organic,Spring2025,Europe,VP,Data Science; Strategy,18,7,18,7,Yes,1,3,96.99,11,1,Cold
LEAD-100005,Facebook,Summer2025,Asia,Manager,Leadership; Marketing; Strategy,13,1,6,11,No,3,3,70.85,153,1,Hot
LEAD-100588,Organic,Webinar2025,Australia,Intern,Leadership; Machine Learning; Data Science,27,9,24,5,No,5,0,84.6,197,1,Warm
LEAD-100901,Facebook,Spring2025,Europe,VP,Data Science; Strategy; Leadership,26,5,20,1,Yes,3,1,39.45,40,0,Warm
LEAD-101037,Facebook,Spring2025,North America,VP,Data Science,29,10,0,2,Yes,5,0,52.82,124,0,Warm
LEAD-100313,Facebook,Summer2025,Australia,Intern,Leadership,29,1,11,6,No,1,3,78.42,100,1,Hot
LEAD-100446,Facebook,Summer2025,North America,Analyst,Machine Learning; Strategy; Data Science,22,6,28,10,No,0,2,95.06,45,1,Hot
LEAD-100811,Facebook,Summer2025,Europe,VP,Machine Learning; Strategy; Data Science,11,15,4,0,No,4,0,52.5,122,0,Hot
LEAD-100533,Organic,Webinar2025,North America,Analyst,Machine Learning,39,9,10,10,Yes,2,3,83.88,196,1,Cold
LEAD-101664,Google Ads,Spring2025,Europe,Manager,Marketing,19,20,5,4,Yes,5,1,46.76,66,0,Warm
LEAD-100116,Facebook,Summer2025,North America,Intern,Strategy; Marketing,25,4,2,4,No,3,0,78.9,101,1,Hot
LEAD-101199,Facebook,Summer2025,Asia,Analyst,Strategy; Leadership; Machine Learning,27,20,10,5,Yes,4,0,56.82,290,0,Warm
LEAD-100555,Google Ads,Spring2025,Asia,Intern,Strategy; Marketing,24,0,5,1,No,4,2,84.59,187,1,Warm
LEAD-100356,Referral,Summer2025,North America,Analyst,Machine Learning,21,10,22,9,No,5,2,63.77,111,1,Hot
LEAD-101710,Facebook,Spring2025,Europe,Director,Marketing; Data Science,20,17,6,7,Yes,5,1,41.3,275,0,Cold
LEAD-100503,Referral,Spring2025,Asia,VP,Leadership; Data Science,23,7,15,3,Yes,4,1,55.9,145,1,Warm
LEAD-100565,Google Ads,Summer2025,Asia,Intern,Leadership,28,7,22,6,Yes,5,3,51.39,285,1,Hot
LEAD-101712,Referral,Webinar2025,Europe,Director,Machine Learning; Data Science,27,6,30,4,No,1,1,39.59,245,0,Cold
LEAD-100688,LinkedIn,Spring2025,Australia,Manager,Machine Learning,36,1,10,12,No,1,2,90.48,263,1,Hot
LEAD-100896,Referral,Summer2025,Europe,Manager,Machine Learning; Leadership; Data Science,15,8,17,3,Yes,5,0,55.52,117,0,Warm
LEAD-101149,Referral,Summer2025,Australia,Director,Data Science; Machine Learning; Strategy,19,20,9,5,Yes,4,0,41.41,136,0,Warm
LEAD-100657,Facebook,Webinar2025,North America,Director,Machine Learning,24,7,21,3,No,0,0,64.37,96,1,Hot
LEAD-100744,Referral,Spring2025,North America,Director,Marketing,26,8,2,3,No,0,0,88.79,125,1,Cold
LEAD-101536,Referral,Summer2025,Asia,Director,Machine Learning; Marketing,23,10,2,0,Yes,5,0,66.88,44,0,Cold
